Trade #,Type,Date and time,Signal,Price USD,Position size (qty),Position size (value),Net P&L USD,Net P&L %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative P&L USD,Cumulative P&L %
66,Exit short,2002-08-15,MacdLE,0.08,1,0.09,0.01,11.11,0.02,22.22,0,0.00,0.08,0.00
66,Entry short,2002-08-01,MacdSE,0.09,1,0.09,0.01,11.11,0.02,22.22,0,0.00,0.08,0.00
67,Exit long,2002-10-08,MacdSE,0.07,1,0.08,-0.01,-12.50,0.03,37.50,-0.02,-25.00,0.07,0.00
67,Entry long,2002-08-15,MacdLE,0.08,1,0.08,-0.01,-12.50,0.03,37.50,-0.02,-25.00,0.07,0.00
68,Exit short,2002-10-14,MacdLE,0.07,1,0.07,0,0.00,0.01,14.29,0,0.00,0.07,0.00
68,Entry short,2002-10-08,MacdSE,0.07,1,0.07,0,0.00,0.01,14.29,0,0.00,0.07,0.00
69,Exit long,2002-11-12,MacdSE,0.09,1,0.07,0.02,28.57,0.07,100.00,0,0.00,0.09,0.00
69,Entry long,2002-10-14,MacdLE,0.07,1,0.07,0.02,28.57,0.07,100.00,0,0.00,0.09,0.00
70,Exit short,2002-11-20,MacdLE,0.12,1,0.09,-0.03,-33.33,0,0.00,-0.03,-33.33,0.06,0.00
70,Entry short,2002-11-12,MacdSE,0.09,1,0.09,-0.03,-33.33,0,0.00,-0.03,-33.33,0.06,0.00
71,Exit long,2002-12-05,MacdSE,0.12,1,0.12,0,0.00,0.03,25.00,0,0.00,0.06,0.00
71,Entry long,2002-11-20,MacdLE,0.12,1,0.12,0,0.00,0.03,25.00,0,0.00,0.06,0.00
72,Exit short,2003-01-08,MacdLE,0.11,1,0.12,0.01,8.33,0.03,25.00,0,0.00,0.07,0.00
72,Entry short,2002-12-05,MacdSE,0.12,1,0.12,0.01,8.33,0.03,25.00,0,0.00,0.07,0.00
73,Exit long,2003-01-09,MacdSE,0.1,1,0.11,-0.01,-9.09,0,0.00,-0.01,-9.09,0.06,0.00
73,Entry long,2003-01-08,MacdLE,0.11,1,0.11,-0.01,-9.09,0,0.00,-0.01,-9.09,0.06,0.00
74,Exit short,2003-01-14,MacdLE,0.1,1,0.1,0,0.00,0,0.00,-0.01,-10.00,0.06,0.00
74,Entry short,2003-01-09,MacdSE,0.1,1,0.1,0,0.00,0,0.00,-0.01,-10.00,0.06,0.00
75,Exit long,2003-01-16,MacdSE,0.1,1,0.1,0,0.00,0,0.00,0,0.00,0.06,0.00
75,Entry long,2003-01-14,MacdLE,0.1,1,0.1,0,0.00,0,0.00,0,0.00,0.06,0.00
